,Category,Brand,Comments,Repair_Status,Event_Location,Restart_Group,Event_Date,Location_Coordinates
9223,Aircon/Dehumidifier,Unknown,"Dehumidifier, not working",End of life,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9224,Lamp,Unknown,"Won't turn on, needs new switch",Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9225,Lamp,Unknown,Cable broken and heating up,Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9226,Toaster,Unknown,Pop-up bar detached,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9227,Mobile,Samsung,Broken screen,Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9228,Hi-Fi integrated,Sony,"Radio cassette player, switches itself off.",End of life,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9229,Portable radio,Roberts,Won't turn on,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9230,Kettle,Russell Hobbs,Doesn't switch on. Burning smell. Adjusted connector in base and resoldered scorched wire,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9231,Kettle,Cookworks,Doesn't work,Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9232,Lamp,Unknown,Stopped working,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9233,Lamp,Unknown,Missing part,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9234,Small kitchen item,Unknown,"Juicer, won't turn on",Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9235,Toaster,Dualit,"Short circuit, blowing fuses. New plug fitted.",Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9236,Vacuum,Hoover,Burning smell,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9237,Laptop small,Acer,"Won't turn on. Removed and replaced battery and booted ok,",Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9238,Printer/scanner,Epson,Doesn't print,End of life,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9239,TV and gaming-related accessories,Bluesky,DVD Player,End of life,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9240,Hair & Beauty item,Carmen,"Hairdryer, won't turn on",Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9241,Lamp,IKEA,Won't turn on,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9242,Power tool,Fellowes,"Laminator, not feeding. Motor jammed",End of life,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9243,Small kitchen item,Kenwood,"Food processor, funny smell from motor.",Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9244,Small kitchen item,Hinari,"Juicer, loose connection",Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9245,Small kitchen item,Hinari,"Juicer, broken top",Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9246,Laptop medium,HP,"Software virus, also affecting USB port",Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9247,Laptop medium,Apple,Doesn't switch con,Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9248,PC Accessory,Apple,Laptop charger cable snapped. Resoldered,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9249,Mobile,Fairphone,Part of the screen is broken,Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9250,Hi-Fi separates,Unknown,Loose connection on HiFi speakers. Renovated,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9251,Portable radio,Roberts,Screen backlight not working,Repairable,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9252,Lamp,IKEA,"LED lamp, frayed connection, soldered and Sugrued",Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9253,Lamp,Unknown,Broken internal connection reconnected plus Sugru,Fixed,Redmond Centre,Hackney Fixers,2016-01-23,"[51.573445, -0.07243759999999999]"
9254,PC Accessory,Unknown,"Computer speakers, one not working. Fixed broken jack lead",Fixed,St Mark's Dalston,Hackney Fixers,2015-11-21,"[51.573445, -0.07243759999999999]"
9255,Laptop medium,Unknown,Plug / charger connection loose,Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9256,Laptop medium,Acer,"Smashed screen, software problem improved.",Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9257,Handheld entertainment device,Apple,Apps issue / home button,Repairable,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9258,Handheld entertainment device,Zoon,Just cleaned it,Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9259,Headphones,Unknown,Sugru used to secure the cable/connection,Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9260,Mobile,Apple,Battery replacement,Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9261,Mobile,Apple,"Sim reader faulty, tried to resolder it.",Repairable,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9262,Mobile,Apple,"Not charging, battery replaced",Repairable,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9263,Mobile,Unknown,"Storage full, advice given, owner to finish the job",Repairable,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9264,"Flat screen 26-30""",Bush,Stuck in Arabic,Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9265,Hi-Fi integrated,Panasonic,CD player dead,End of life,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9266,Hi-Fi integrated,Unknown,None,End of life,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9267,Hi-Fi separates,Marantz,"CD player door not working. Needs a replacement tray gear, part ID'ed",Repairable,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9268,Decorative or safety lights,Unknown,"Bike lights, cleaned. Better but not perfect",Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9269,Hair & Beauty item,Unknown,Hairdryer switch loose - had to break it to open it,End of life,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9270,Lamp,Unknown,Missing a plug; fitted one,Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9271,Small kitchen item,Unknown,Blender,End of life,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9272,Vacuum,Unknown,Not sucking well,Fixed,Abbey Community Centre,Restart HQ,2016-01-25,"[14.5994, 28.6731]"
9273,Laptop medium,Toshiba,Virus,Repairable,Leicester Hackspace,Leicester Fixers,2016-01-23,"[52.6394707, -1.152051]"
9274,Handheld entertainment device,Apple,Ipod,Repairable,Leicester Hackspace,Leicester Fixers,2016-01-23,"[52.6394707, -1.152051]"
9275,Small kitchen item,Nespresso,Coffee Machine - did not heat up water and leaked. it was seen that the water did not affect any of the internal part. they decided that it worth heating a bit the water before putting it the machine,Fixed,Leicester Hackspace,Leicester Fixers,2016-01-23,"[52.6394707, -1.152051]"
9276,Toy,Unknown,None,Repairable,Leicester Hackspace,Leicester Fixers,2016-01-23,"[52.6394707, -1.152051]"
9277,Laptop medium,Unknown,Inverter cable replaced,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9278,Laptop medium,Toshiba,Linux install,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9279,Laptop medium,Dell,"Screen replacement, owner brought spare part",Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9280,Laptop medium,Acer,Running slow - improved,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9281,Laptop medium,Apple,Noisy - improved,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9282,Laptop medium,Unknown,Linux install,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9283,Paper shredder,Unknown,Never worked. Oiled and works,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9284,PC Accessory,Unknown,Charger - wire damaged,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9285,Printer/scanner,Samsung,"Were able to get a green light at the event, but owner told us it was not fixed",Repairable,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9286,Digital Compact Camera,Nikon,LCD damaged - replacement ordered,Repairable,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9287,Handheld entertainment device,Apple,Needed a replacement screen,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9288,Handheld entertainment device,Nintendo,Top screen flickering,End of life,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9289,Headphones,Beats,None,Repairable,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9290,Mobile,Motorola,SIM card loose,Repairable,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9291,Mobile,Apple,Needed back-up before repair,Repairable,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9292,Hi-Fi separates,Unknown,Amp - one channel gone,Repairable,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9293,Hi-Fi separates,Unknown,Turntable needing new belt,Repairable,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9294,Hi-Fi separates,Unknown,Turntable cartridge needed rewiring,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9295,Lamp,Unknown,Switch fixed,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9296,Power tool,Bosch,Advanced and cleaned motor,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9297,Small kitchen item,Unknown,Hand blender - switch broken,End of life,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9298,Toaster,Breville,One element gone - no spare parts available,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9299,Toaster,Unknown,Tripping the electrics - too hard,End of life,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9300,Toaster,Maybaum,Space-age toaster,End of life,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9301,Toaster,Unknown,None,End of life,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9302,Vacuum,Unknown,Switch needs fixing - work around found.,Fixed,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9303,Vacuum,Hoover,Motor gone,End of life,"Holy Trinity Church, Tulse Hill",Restart HQ,2015-11-28,"[14.5994, 28.6731]"
9304,Laptop medium,HP,"Windows won't boot. Hard drive needed replacing, the rest of the machine is ok",Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9305,PC Accessory,Unknown,Mouse with a loose cable. Owner to buy another,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9306,Printer/scanner,Canon,Paper jam,Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9307,Headphones,Sony,One channel gone.,Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9308,Mobile,Fairphone,Micro USB port dodgy,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9309,Mobile,Apple,Incomplete update. Owner wanted to backup before reset.,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9310,Tablet,Apple,Screen flickered and died after a drop. Couldn't heat the screen to remove it.,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9311,Aircon/Dehumidifier,B&Q,Getting power but not dehumidifying. PCB faulty. Part ID'ed,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9312,Small kitchen item,Unknown,Hand blender cable was damaged,Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9313,Laptop medium,HP,Blue screen - bought at Argos,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9314,Laptop medium,Acer,"Slow - ""broken"" DVD drive",Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9315,Laptop medium,Lenovo,"Slow, running Windows 10 - improved",Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9316,Handheld entertainment device,Unknown,Speaker rucksack - problems with the power supply,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9317,Handheld entertainment device,Apple,Would not power on. Came to life when plugged into an Apple computer.,Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9318,Mobile,Samsung,None,Repairable,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9319,Mobile,Samsung,"Micro USB damaged, needed replacing. DIY",Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9320,Lamp,Unknown,"Doesn't work, fuse ok. Midas Touch",Fixed,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9321,Vacuum,Unknown,Motor gone,End of life,Brixton Pound Store,Restart HQ,2016-01-11,"[14.5994, 28.6731]"
9322,Laptop medium,Apple,internet card?,Fixed,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9323,Laptop medium,Apple,Suspected dead. Was dead.,End of life,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9324,Laptop medium,Apple,Wonky screen,Fixed,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9325,Laptop medium,HP,Running slow,Fixed,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9326,Laptop small,HP,Notebook-Overheating,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9327,PC Accessory,Unknown,Mouse - cable was broken,Fixed,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9328,Headphones,Unknown,One channel not working.,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9329,Mobile,Samsung,Bad micro USB port,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9330,Mobile,Nokia,Not charging,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9331,Mobile,Sony,Screen,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9332,Mobile,Apple,Advised on purchasing part,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9333,Tablet,Amazon,Just needs a new battery,Fixed,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9334,Tablet,Kobo,eReader Deleting files - just disabled sync,Fixed,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9335,Tablet,Apple,Not charging,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9336,Tablet,Amazon,Not charging - advised to contact manufacturer,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9337,Hi-Fi separates,Unknown,Amp appears to have been used with the wrong power supply,End of life,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9338,Portable radio,Unknown,"DAB radio ""frozen""",Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9339,Power tool,Unknown,Battery would not charge in this drill,Fixed,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9340,Misc,Unknown,A lined phone with no sound,End of life,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9341,Misc,Unknown,Steam mop - needed spare parts,Repairable,Kentish Town Community Centre,Restart HQ,2015-12-15,"[14.5994, 28.6731]"
9342,Laptop small,ASUS,netbook,Fixed,leicester hackspace,Leicester Fixers,2015-07-18,"[52.6394707, -1.152051]"
9343,Handheld entertainment device,Unknown,headphones,Fixed,leicester hackspace,Leicester Fixers,2015-07-18,"[52.6394707, -1.152051]"
9344,Hi-Fi separates,Unknown,hi fi amplifier,Fixed,leicester hackspace,Leicester Fixers,2015-07-18,"[52.6394707, -1.152051]"
9345,Portable radio,Bush,None,Fixed,leicester hackspace,Leicester Fixers,2015-07-18,"[52.6394707, -1.152051]"
9346,Toy,Unknown,loose wire,Fixed,leicester hackspace,Leicester Fixers,2015-07-18,"[52.6394707, -1.152051]"
9347,Hi-Fi separates,Unknown,amplifier,Fixed,leicester hackspace,Leicester Fixers,2015-05-16,"[52.6394707, -1.152051]"
9348,Portable radio,Schneider,the speaker crackling noise,Repairable,leicester hackspace,Leicester Fixers,2015-05-16,"[52.6394707, -1.152051]"
9349,Portable radio,Pure,None,Repairable,leicester hackspace,Leicester Fixers,2015-05-16,"[52.6394707, -1.152051]"
9350,Decorative or safety lights,Unknown,switching not working - residual moisture - key ring torch,Fixed,leicester hackspace,Leicester Fixers,2015-05-16,"[52.6394707, -1.152051]"
9351,Small kitchen item,Krups,coffee machine - button contact,Fixed,leicester hackspace,Leicester Fixers,2015-05-16,"[52.6394707, -1.152051]"
9352,Small kitchen item,Unknown,hand held blender - burning smell,Fixed,leicester hackspace,Leicester Fixers,2015-05-16,"[52.6394707, -1.152051]"
9353,Printer/scanner,HP,extraction of ink from cartridge,Fixed,leicester hackspace,Leicester Fixers,2015-09-26,"[52.6394707, -1.152051]"
9354,Digital Compact Camera,Nikon,cannot charged,Repairable,leicester hackspace,Leicester Fixers,2015-09-26,"[52.6394707, -1.152051]"
9355,Portable radio,Roberts,radio does not work dodgy contact,Fixed,leicester hackspace,Leicester Fixers,2015-09-26,"[52.6394707, -1.152051]"
9356,Portable radio,Unknown,speaker burnt ou - need to be charged,Repairable,leicester hackspace,Leicester Fixers,2015-09-26,"[52.6394707, -1.152051]"
9357,Misc,Unknown,fan heater - motors burnt out,Fixed,leicester hackspace,Leicester Fixers,2015-09-26,"[52.6394707, -1.152051]"
9358,Tablet,Unknown,None,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9359,Hi-Fi integrated,Unknown,None,Fixed,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9360,Portable radio,Unknown,None,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9361,Decorative or safety lights,Unknown,None,Fixed,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9362,Small kitchen item,Unknown,halogen oven,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9363,Toy,Unknown,None,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9364,Laptop small,Unknown,netbook,Fixed,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9365,Paper shredder,Unknown,None,Fixed,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9366,DLSR / Video Camera,Unknown,None,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9367,Handheld entertainment device,Unknown,None,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9368,Mobile,Unknown,None,End of life,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9369,Hi-Fi integrated,Unknown,None,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9370,TV and gaming-related accessories,Unknown,dvd player - door not opening,Fixed,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9371,Decorative or safety lights,Unknown,None,End of life,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9372,Small kitchen item,Unknown,Blender,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9373,Small kitchen item,Unknown,sandwich toaster,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9374,Toy,Unknown,8m extension wheel train,Fixed,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9375,Misc,Unknown,None,End of life,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9376,Misc,Unknown,mobile phone charger - wire came loose,Fixed,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9377,Misc,Unknown,clock,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9378,Misc,Unknown,clock,Repairable,"Friends Meeting House, Leicester",Leicester Fixers,2015-10-31,"[52.6394707, -1.152051]"
9379,Tablet,Amazon,Kindle - the spare part were still missing,Repairable,Leicester Hackspace,Leicester Fixers,2015-12-12,"[52.6394707, -1.152051]"
9380,Tablet,Samsung,Not charging,Fixed,Leicester Hackspace,Leicester Fixers,2015-12-12,"[52.6394707, -1.152051]"
9381,Tablet,Samsung,Not turning on,Repairable,Leicester Hackspace,Leicester Fixers,2015-12-12,"[52.6394707, -1.152051]"
9382,Hi-Fi separates,Philips,The door was not opening,Fixed,Leicester Hackspace,Leicester Fixers,2015-12-12,"[52.6394707, -1.152051]"
9383,Decorative or safety lights,Unknown,"Headlamp - second visit to a repair event with the headlamp. the first time, the participant did not screw back properly the screwdriver which created a wrong contact to the battery",Fixed,Leicester Hackspace,Leicester Fixers,2015-12-12,"[52.6394707, -1.152051]"
9384,Decorative or safety lights,Unknown,little solar torch lamp keyring,Repairable,Leicester Hackspace,Leicester Fixers,2015-12-12,"[52.6394707, -1.152051]"
9385,Misc,British Gas,"Electric Monitor - as they changed the battery for the device, it was not paired properly. the steps were reviewed to get the device to work again",Fixed,Leicester Hackspace,Leicester Fixers,2015-12-12,"[52.6394707, -1.152051]"
9386,Laptop large,Dell,"dirty inside, overheating",Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9387,Laptop medium,Apple,"battery problems. turns out it's 5 years old, still OK for the age, taught how to reduce battery usage and check performance",Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9388,Laptop medium,Lenovo,overheats and shuts down. good clean up,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9389,Laptop medium,ASUS,audio jack not working,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9390,Laptop medium,HP,"doesn't boot. successfully helped to recover data, now needs to reformat hd at home",Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9391,Laptop medium,ASUS,"battery problem. checked the capacity of the battery, provided help to get a new one",Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9392,Laptop medium,Acer,"powers off when moving it. couldn't find the reason, participant says he ""learned a whole lot about repairing laptops"" as he took it completely apart",Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9393,Laptop medium,Acer,"power jack not working, fixed",Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9394,Handheld entertainment device,Apple,"ipod features don't work, radio still does. we recommended to keep it as is, almost impossible to fix without breaking it further",Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9395,Mobile,Huawei,"slow, restarts - helped to reset",Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9396,Mobile,Samsung,shuts down. reset to factory settings,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9397,Mobile,Nokia,"power button not working. fixed with workaround (taking out button, now can be switched on again)",Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9398,Mobile,Fairphone,cracked screen. brought spare part and learned to do it,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9399,Mobile,Apple,"dust in the camera. advised to ask Apple to do it free of charge, as not due to usage",Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9400,Mobile,Apple,battery problems. helped her understand that her constant use of Spotify and bluetooth is the main problem,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9401,Mobile,Samsung,"camera doesn't focus consistently. it's 6 month old from Argos, explained warranty repair",Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9402,Mobile,Google,"screen stopped working. it has previously repaired by Lovefone, explained he should go back as covered by their warranty",Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9403,Laptop large,Samsung,migrate to SSD. problems cloning hd,Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9404,Laptop small,Lenovo,Notebook running slow,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9405,Handheld entertainment device,Apple,not charging. charger was broken,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9406,Mobile,Apple,defective power button. elegible for Apple recall,Repairable,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9407,Headphones,Audio Technica,resolder audio jack,Fixed,Imperial College London,Sponsored events,2015-12-01,"[14.5994, 28.6731]"
9408,Hi-Fi separates,Unknown,Cassette deck. Doesn't work,Repairable,St Mark's Dalston,Hackney Fixers,2015-11-21,"[51.573445, -0.07243759999999999]"
9409,Small kitchen item,Bosch,Iron (needs category). Tested and working.,Fixed,St Mark's Dalston,Hackney Fixers,2015-11-21,"[51.573445, -0.07243759999999999]"
